Código;CódigoAux;CódigoBarras;Nombre;Descatalogado;FechaA;FechaV;RedondeoUnitario;Multiproveedor;CODPROV;Proveedor;PrecioLista;Desc1;Desc2;Desc3;Desc4;PrecioCompra;PrecioVenta;PrecioVenta2;PrecioVenta3;PrecioVenta4;RecargoMínimo;Moneda;CuentaC;CuentaV;IVA;IVAEsp;Exento;NoGravado;ImpIntAlic;ImpIntMonto;Garantía;Ubicación;Clasificación;Subclasificación;Servicio;MateriaPrima;PermitirCaract;RequerirDetalle;ControlarStock;ControlarStockGrupo;*Imagen;Descrip;CantBulto;Unidad;StockI;StockA;StockM;StockI2;StockA2;StockM2;StockI3;StockA3;StockM3;StockI4;StockA4;StockM4;AlmPredet;Grupo;PrecioVFijoGrupo;RecargoFijoGrupo;FechaÚltimaActPrecioC;FechaÚltimaActPrecioV;FechaÚltimaActPrecioV2;FechaÚltimaActPrecioV3;FechaÚltimaActPrecioV4;CP1;CP2;CP3;CP4
1;1;;MATAFUEGO 1 KG AUTO NUEVO COMPACTO;FALSO;14/02/2025;;FALSO;FALSO;1;VULCANO SA;25620;0;0;0;0;25620;25620;25620;29463;33306;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;1;FALSO;FALSO;0;21/02/2025 03:14:52 a.?m.;21/02/2025 03:14:52 a.?m.;21/02/2025 03:14:52 a.?m.;21/02/2025 03:14:52 a.?m.;21/02/2025 03:14:52 a.?m.;;;;
123123;;704230;DISPENSER NUEVO;FALSO;21/02/2025;;FALSO;FALSO;1;VULCANO SA;247934;0;0;0;0;247934;285124,1;285124,1;210743,9;322314,2;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;1;FALSO;FALSO;0;21/02/2025 03:35:09 a.?m.;21/02/2025 03:35:09 a.?m.;21/02/2025 03:35:09 a.?m.;21/02/2025 03:35:09 a.?m.;21/02/2025 03:35:09 a.?m.;;;;
A-1;;1;DISPENSER LH BLANCO V 53 BIDON;FALSO;03/06/2025;;FALSO;FALSO;4;LIVORE HNOS;0;0;0;0;0;0;261239,6693;239669,4214;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Dispenser Frio Calor;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;10/04/2025 10:33:37 a.?m.;10/04/2025 09:24:14 a.?m.;;;;;;
A-10;;10;DISPENSER USHUAIA RED;FALSO;03/06/2025;;FALSO;FALSO;9;USHUAIA;0;0;0;0;0;0;401768,595;368595,0413;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Dispenser Frio Calor;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;02/04/2025 11:54:19 a.?m.;;;;;;;
A-100;;104;ACOPLE RAPIDO ROSCA 1/2 MANG 1/4;FALSO;06/03/2025 11:32:39 a.?m.;;FALSO;FALSO;6;DERVICH;0;0;0;0;0;0;3199,1736;3199,1736;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-1000;;266353;MANOMETRO 250 -300 KG;FALSO;06/03/2025 11:32:49 a.?m.;;FALSO;FALSO;18;REGULADORES LIGA ESTABLECIMIENTO DEL OESTE SRL;0;0;0;0;0;0;16115,7025;16115,7025;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-1001;;354127;MANOMETRO GRANDE ROSCA DE 1/2;FALSO;06/03/2025 11:32:49 a.?m.;;FALSO;FALSO;18;REGULADORES LIGA ESTABLECIMIENTO DEL OESTE SRL;0;0;0;0;0;0;32644,6281;32644,6281;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-1002;;598876;MANTA IGNIFUGA 1.80 X 1.80 MTS;FALSO;06/03/2025 11:32:49 a.?m.;;FALSO;FALSO;19;DISTRIBUIDORA TOSI;0;0;0;0;0;0;2024,7934;2024,7934;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-1003;;550719;MANTA IGNIFUGA 1.20 X 1.80;FALSO;06/03/2025 11:32:49 a.?m.;;FALSO;FALSO;19;DISTRIBUIDORA TOSI;0;0;0;0;0;0;1793,3884;1793,3884;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-1004;;670527;MANTA IGNIFUGA 90X90;FALSO;06/03/2025 11:32:49 a.?m.;;FALSO;FALSO;19;DISTRIBUIDORA TOSI;0;0;0;0;0;0;1157,0248;1157,0248;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
